t,1.35uM,4uM
0,3.15E-06,2.39E-05
0.05025125628,3.15E-06,2.39E-05
0.1005025126,1.27E-05,1.08E-04
0.1507537688,2.89E-05,0.0002959795268
0.2010050251,5.22E-05,0.0006908466896
0.2512562814,8.32E-05,0.001516109916
0.3015075377,1.23E-04,0.003250441914
0.351758794,1.72E-04,0.006902215844
0.4020100503,2.32E-04,0.014525361
0.4522613065,0.0003055051225,0.02999856475
0.5025125628,0.0003935259389,0.05950760236
0.5527638191,0.0004990328712,0.1096205223
0.6030150754,0.0006251670264,0.1807239275
0.6532663317,0.0007757363278,0.2615938441
0.7035175879,0.000955347488,0.3362724944
0.7537688442,0.001169564881,0.3957793752
0.8040201005,0.001425101013,0.439923627
0.8542713568,0.001730043847,0.4726351685
0.9045226131,0.002094126754,0.4984009831
0.9547738693,0.002529047095,0.5210016499
1.005025126,0.003048839389,0.5433390737
1.055276382,0.003670308301,0.5675186789
1.105527638,0.004413524974,0.5948843229
1.155778894,0.005302387078,0.6259723456
1.206030151,0.006365237568,0.6604724519
1.256281407,0.007635528803,0.6973144889
1.306532663,0.009152506157,0.7349371042
1.35678392,0.01096186768,0.771672661
1.407035176,0.0131163324,0.8061019759
1.457286432,0.01567601954,0.8372597471
1.507537688,0.01870850442,0.8646676752
1.557788945,0.02228837826,0.8882499792
1.608040201,0.02649610403,0.9082048464
1.658291457,0.03141594255,0.9248836759
1.708542714,0.03713273783,0.9387004293
1.75879397,0.04372742168,0.9500733128
1.809045226,0.0512712446,0.9593922234
1.859296482,0.059818974,0.9670037287
1.909547739,0.0694016061,0.9732067165
1.959798995,0.08001946306,0.9782539011
2.010050251,0.09163679633,0.9823561444
2.060301508,0.1041790764,0.9856878146
2.110552764,0.11753392,0.9883922205
2.16080402,0.131556073,0.9905866486
2.211055276,0.1460761255,0.9923668104
2.261306533,0.1609118882,0.9938106547
2.311557789,0.1758808362,0.9949815757
2.361809045,0.1908118873,0.9959310817
2.412060302,0.2055550514,0.9967009955
2.462311558,0.2199880398,0.9973252602
2.512562814,0.2340195691,0.9978314145
2.56281407,0.2475896482,0.998241797
2.613065327,0.2606674926,0.9985745245
2.663316583,0.2732478462,0.9988442888
2.713567839,0.2853464563,0.9990630033
2.763819095,0.2969953037,0.9992403278
2.814070352,0.3082380135,0.9993840946
2.864321608,0.3191257035,0.999500654
2.914572864,0.3297133908,0.9995951549
2.964824121,0.3400569882,0.9996717716
3.015075377,0.3502108603,0.9997338887
3.065326633,0.3602258892,0.9997842502
3.115577889,0.3701479862,0.9998250808
3.165829146,0.3800169965,0.9998581842
3.216080402,0.3898659487,0.9998850229
3.266331658,0.3997206147,0.9999067823
3.316582915,0.4095993508,0.9999244237
3.366834171,0.4195131985,0.9999387265
3.417085427,0.4294662208,0.9999503225
3.467336683,0.4394560503,0.999959724
3.51758794,0.4494746173,0.9999673462
3.567839196,0.4595090219,0.9999735259
3.618090452,0.4695425088,0.9999785362
3.668341709,0.4795554968,0.9999825982
3.718592965,0.4895266179,0.9999858915
3.768844221,0.49943372,0.9999885615
3.819095477,0.5092547935,0.9999907262
3.869346734,0.5189687882,0.9999924813
3.91959799,0.5285563001,0.9999939042
3.969849246,0.5380001115,0.9999950578
4.020100503,0.5472855834,0.9999959931
4.070351759,0.5564009025,0.9999967514
4.120603015,0.5653371969,0.9999973662
4.170854271,0.5740885334,0.9999978647
4.221105528,0.5826518191,0.9999982688
4.271356784,0.5910266237,0.9999985964
4.32160804,0.5992149451,0.999998862
4.371859296,0.6072209352,0.9999990774
4.422110553,0.6150506013,0.999999252
4.472361809,0.6227114986,0.9999993936
4.522613065,0.630212423,0.9999995083
4.572864322,0.6375631128,0.9999996014
4.623115578,0.6447739668,0.9999996768
4.673366834,0.6518557816,0.999999738
4.72361809,0.658819511,0.9999997876
4.773869347,0.6656760501,0.9999998278
4.824120603,0.6724360428,0.9999998604
4.874371859,0.6791097149,0.9999998868
4.924623116,0.6857067292,0.9999999082
4.974874372,0.6922360652,0.9999999256
5.025125628,0.6987059189,0.9999999397
5.075376884,0.7051236251,0.9999999511
5.125628141,0.7114955979,0.9999999603
5.175879397,0.717827291,0.9999999678
5.226130653,0.724123174,0.9999999739
5.27638191,0.7303867271,0.9999999789
5.326633166,0.7366204489,0.9999999829
5.376884422,0.7428258798,0.9999999861
5.427135678,0.7490036376,0.9999999887
5.477386935,0.7551534649,0.9999999909
5.527638191,0.7612742866,0.9999999926
5.577889447,0.7673642758,0.999999994
5.628140704,0.7734209273,0.9999999951
5.67839196,0.779441137,0.9999999961
5.728643216,0.785421284,0.9999999968
5.778894472,0.7913573169,0.9999999974
5.829145729,0.7972448395,0.9999999979
5.879396985,0.8030791964,0.9999999983
5.929648241,0.8088555567,0.9999999986
5.979899497,0.814568994,0.9999999989
6.030150754,0.8202145622,0.9999999991
6.08040201,0.8257873656,0.9999999993
6.130653266,0.8312826232,0.9999999994
6.180904523,0.8366957261,0.9999999995
6.231155779,0.8420222876,0.9999999996
6.281407035,0.8472581862,0.9999999997
6.331658291,0.8523996013,0.9999999997
6.381909548,0.8574430412,0.9999999998
6.432160804,0.8623853651,0.9999999998
6.48241206,0.8672237975,0.9999999999
6.532663317,0.8719559368,0.9999999999
6.582914573,0.8765797588,0.9999999999
6.633165829,0.8810936145,0.9999999999
6.683417085,0.8854962242,0.9999999999
6.733668342,0.8897866667,1
6.783919598,0.8939643669,1
6.834170854,0.8980290793,1
6.884422111,0.9019808703,1
6.934673367,0.9058200986,1
6.984924623,0.9095473947,1
7.035175879,0.9131636397,1
7.085427136,0.9166699438,1
7.135678392,0.9200676248,1
7.185929648,0.9233581865,1
7.236180905,0.9265432988,1
7.286432161,0.929624777,1
7.336683417,0.9326045631,1
7.386934673,0.9354847076,1
7.43718593,0.9382673521,1
7.487437186,0.9409547138,1
7.537688442,0.9435490702,1
7.587939698,0.9460527452,1
7.638190955,0.9484680971,1
7.688442211,0.9507975064,1
7.738693467,0.9530433655,1
7.788944724,0.9552080695,1
7.83919598,0.9572940074,1
7.889447236,0.9593035545,1
7.939698492,0.9612390661,1
7.989949749,0.9631028711,1
8.040201005,0.9648972673,1
8.090452261,0.9666245166,1
8.140703518,0.9682868414,1
8.190954774,0.9698864214,1
8.24120603,0.971425391,1
8.291457286,0.9729058367,1
8.341708543,0.9743297959,1
8.391959799,0.9756992552,1
8.442211055,0.9770161495,1
8.492462312,0.9782823612,1
8.542713568,0.9794997203,1
8.592964824,0.9806700035,1
8.64321608,0.9817949347,1
8.693467337,0.9828761855,1
8.743718593,0.9839153751,1
8.793969849,0.9849140713,1
8.844221106,0.9858737909,1
8.894472362,0.9867960007,1
8.944723618,0.9876821185,1
8.994974874,0.9885335139,1
9.045226131,0.9893515091,1
9.095477387,0.9901373806,1
9.145728643,0.9908923599,1
9.195979899,0.9916176347,1
9.246231156,0.99231435,1
9.296482412,0.9929836095,1
9.346733668,0.9936264767,1
9.396984925,0.9942439762,1
9.447236181,0.9948370944,1
9.497487437,0.9954067813,1
9.547738693,0.9959539515,1
