t,1uM,1.7uM,4uM
0,1.39E-06,4.04E-06,2.39E-05
0.05025125628,1.39E-06,4.04E-06,2.39E-05
0.1005025126,5.56E-06,1.63E-05,1.08E-04
0.1507537688,1.25E-05,3.71E-05,0.0002959795268
0.2010050251,2.24E-05,6.71E-05,0.0006908466896
0.2512562814,3.50E-05,1.07E-04,0.001516109916
0.3015075377,5.08E-05,1.59E-04,0.003250441914
0.351758794,6.94E-05,0.0002233910428,0.006902215844
0.4020100503,9.11E-05,0.0003029940479,0.014525361
0.4522613065,0.0001161803454,0.0004001675111,0.02999856475
0.5025125628,0.0001445292123,0.0005180243021,0.05950760236
0.5527638191,0.0001763570528,0.0006603707803,0.1096205223
0.6030150754,0.0002118184356,0.0008318413218,0.1807239275
0.6532663317,0.0002510855553,0.001038061714,0.2615938441
0.7035175879,0.0002943490529,0.001285846706,0.3362724944
0.7537688442,0.0003418189229,0.001583437861,0.3957793752
0.8040201005,0.0003937255119,0.001940788763,0.439923627
0.8542713568,0.0004503206122,0.002369905464,0.4726351685
0.9045226131,0.0005118786554,0.002885250804,0.4984009831
0.9547738693,0.0005786980118,0.003504221637,0.5210016499
1.005025126,0.0006511023994,0.004247707885,0.5433390737
1.055276382,0.0007294424102,0.005140741247,0.5675186789
1.105527638,0.0008140971598,0.006213238882,0.5948843229
1.155778894,0.0009054760656,0.007500842584,0.6259723456
1.206030151,0.001004020763,0.009045845971,0.6604724519
1.256281407,0.001110207168,0.01089818962,0.6973144889
1.306532663,0.001224547687,0.01311648539,0.7349371042
1.35678392,0.001347593597,0.01576900472,0.771672661
1.407035176,0.001479937586,0.0189345298,0.8061019759
1.457286432,0.001622216486,0.02270292106,0.8372597471
1.507537688,0.001775114185,0.02717519954,0.8646676752
1.557788945,0.001939364747,0.03246288502,0.8882499792
1.608040201,0.002115755741,0.03868627817,0.9082048464
1.658291457,0.002305131795,0.04597134792,0.9248836759
1.708542714,0.002508398382,0.05444490756,0.9387004293
1.75879397,0.002726525859,0.0642278696,0.9500733128
1.809045226,0.002960553759,0.07542659003,0.9593922234
1.859296482,0.003211595359,0.08812266331,0.9670037287
1.909547739,0.003480842532,0.1023619879,0.9732067165
1.959798995,0.003769570897,0.1181444091,0.9782539011
2.010050251,0.004079145279,0.1354156219,0.9823561444
2.060301508,0.004411025492,0.1540631018,0.9856878146
2.110552764,0.004766772458,0.1739174937,0.9883922205
2.16080402,0.00514805467,0.1947600821,0.9905866486
2.211055276,0.005556655011,0.2163358607,0.9923668104
2.261306533,0.005994477948,0.2383705933,0.9938106547
2.311557789,0.006463557085,0.2605894757,0.9949815757
2.361809045,0.006966063108,0.2827347994,0.9959310817
2.412060302,0.007504312112,0.304580421,0.9967009955
2.462311558,0.008080774304,0.3259416725,0.9973252602
2.512562814,0.008698083101,0.3466803121,0.9978314145
2.56281407,0.009359044588,0.3667049501,0.998241797
2.613065327,0.01006664735,0.3859679152,0.9985745245
2.663316583,0.01082407267,0.404459733,0.9988442888
