t,1.35uM,3uM,5uM
0,2.71E-06,1.23E-05,3.55E-05
0.05025125628,2.71E-06,1.23E-05,3.55E-05
0.1005025126,1.09E-05,5.08E-05,0.0001649573209
0.1507537688,2.48E-05,0.0001207037405,0.000471255313
0.2010050251,4.48E-05,0.0002312424776,0.001150450902
0.2512562814,7.12E-05,0.0003971397877,0.002635080044
0.3015075377,1.05E-04,0.0006404349451,0.005860448882
0.351758794,1.46E-04,0.0009933935953,0.01281103809
0.4020100503,1.97E-04,0.001502705915,0.02754801608
0.4522613065,0.0002581739282,0.002235496198,0.05776163331
0.5025125628,0.0003312767572,0.003287826783,0.1157273779
0.5527638191,0.0004183639166,0.00479658887,0.2144444558
0.6030150754,0.0005218298787,0.00695587731,0.3544919776
0.6532663317,0.0006445736347,0.01003905452,0.5131486336
0.7035175879,0.0007900978793,0.01442751478,0.658117474
0.7537688442,0.0009626283919,0.02064625477,0.7709124956
0.8040201005,0.001167257137,0.02940401052,0.8504432435
0.8542713568,0.001410113038,0.04163083802,0.9036394991
0.9045226131,0.001698564729,0.05849740392,0.9383045622
0.9547738693,0.002041459824,0.08138784477,0.9606154551
1.005025126,0.002449405142,0.111785811,0.9748923363
1.055276382,0.002935091829,0.1510334699,0.9840038879
1.105527638,0.003513668021,0.1999568508,0.989811795
1.155778894,0.004203159325,0.2584328832,0.993511808
1.206030151,0.005024933367,0.3250765538,0.9958683501
1.256281407,0.006004198394,0.3972599202,0.9973690576
1.306532663,0.00717051654,0.4715495126,0.9983246958
1.35678392,0.008558299156,0.5444120987,0.9989332233
1.407035176,0.01020723369,0.612883237,0.9993207147
1.457286432,0.01216256877,0.6749520384,0.9995674559
1.507537688,0.01447515686,0.7296107784,0.9997245719
1.557788945,0.01720112488,0.7766753408,0.9998246176
1.608040201,0.02040101696,0.8165213699,0.999888323
1.658291457,0.02413823986,0.8498384636,0.9999288882
1.708542714,0.02847665297,0.8774461399,0.9999547187
1.75879397,0.03347719773,0.9001754591,0.9999711665
1.809045226,0.03919357189,0.918802807,0.9999816399
1.859296482,0.04566712934,0.9340191485,0.999988309
1.909547739,0.05292141521,0.9464208774,0.9999925556
1.959798995,0.06095699002,0.9565125425,0.9999952597
2.010050251,0.06974738357,0.9647153073,0.9999969815
2.060301508,0.07923706366,0.9713775513,0.999998078
2.110552764,0.08934213309,0.9767856648,0.9999987761
2.16080402,0.09995406841,0.9811740765,0.9999992207
2.211055276,0.1109462579,0.9847341171,0.9999995038
2.261306533,0.1221825356,0.9876216253,0.999999684
2.311557789,0.1335265164,0.9899633526,0.9999997988
2.361809045,0.1448504312,0.9918622915,0.9999998719
2.412060302,0.1560423666,0.9934020727,0.9999999184
2.462311558,0.1670112234,0.9946505723,0.9999999481
2.512562814,0.1776891976,0.9956628622,0.9999999669
2.56281407,0.1880319973,0.996483615,0.9999999789
2.613065327,0.1980172813,0.9971490624,0.9999999866
2.663316583,0.2076419028,0.9976885862,0.9999999915
2.713567839,0.2169185184,0.9981260121,0.9999999946
2.763819095,0.2258720134,0.9984806591,0.9999999965
2.814070352,0.2345360624,0.9987681914,0.9999999978
2.864321608,0.2429500186,0.9990013094,0.9999999986
2.914572864,0.2511562219,0.9991903106,0.9999999991
2.964824121,0.2591977481,0.9993435438,0.9999999994
3.015075377,0.2671165803,0.9994677778,0.9999999996
3.065326633,0.2749521594,0.9995685006,0.9999999998
3.115577889,0.2827402719,0.9996501618,0.9999999999
3.165829146,0.2905122305,0.9997163686,0.9999999999
3.216080402,0.2982943139,0.9997700458,0.9999999999
3.266331658,0.3061074387,0.9998135646,1
3.316582915,0.3139670431,0.9998488474,1
3.366834171,0.3218831635,0.9998774531,1
3.417085427,0.3298606886,0.999900645,1
3.467336683,0.3378997714,0.999919448,1
3.51758794,0.3459963757,0.9999346924,1
3.567839196,0.3541429302,0.9999470519,1
3.618090452,0.3623290582,0.9999570723,1
3.668341709,0.3705423488,0.9999651964,1
3.718592965,0.3787691332,0.999971783,1
3.768844221,0.3869952332,0.999977123,1
3.819095477,0.3952066512,0.9999814525,1
3.869346734,0.4033901772,0.9999849626,1
3.91959799,0.4115338958,0.9999878084,1
3.969849246,0.4196275827,0.9999901157,1
