t,1.2uM,2uM,3uM,5uM
0,2.02E-06,5.42E-06,1.23E-05,3.55E-05
0.05025125628,2.02E-06,5.42E-06,1.23E-05,3.55E-05
0.1005025126,8.08E-06,2.19E-05,5.08E-05,0.0001649573209
0.1507537688,1.83E-05,5.01E-05,0.0001207037405,0.000471255313
0.2010050251,3.28E-05,9.11E-05,0.0002312424776,0.001150450902
0.2512562814,5.16E-05,0.0001464601874,0.0003971397877,0.002635080044
0.3015075377,7.50E-05,0.0002184199059,0.0006404349451,0.005860448882
0.351758794,1.03E-04,0.0003097611847,0.0009933935953,0.01281103809
0.4020100503,1.37E-04,0.000424050616,0.001502705915,0.02754801608
0.4522613065,0.0001753840699,0.0005657472278,0.002235496198,0.05776163331
0.5025125628,0.0002201020949,0.0007403736269,0.003287826783,0.1157273779
0.5527638191,0.0002711857853,0.000954727043,0.00479658887,0.2144444558
0.6030150754,0.0003291817014,0.001217137676,0.00695587731,0.3544919776
0.6532663317,0.0003947128967,0.00153778319,0.01003905452,0.5131486336
0.7035175879,0.0004684863455,0.001929069773,0.01442751478,0.658117474
0.7537688442,0.0005513013683,0.002406091908,0.02064625477,0.7709124956
0.8040201005,0.0006440591498,0.002987184738,0.02940401052,0.8504432435
0.8542713568,0.000747773457,0.003694584627,0.04163083802,0.9036394991
0.9045226131,0.0008635826766,0.004555214909,0.05849740392,0.9383045622
0.9547738693,0.000992763302,0.005601614681,0.08138784477,0.9606154551
1.005025126,0.001136745013,0.006873028142,0.111785811,0.9748923363
1.055276382,0.001297127506,0.008416669892,0.1510334699,0.9840038879
1.105527638,0.001475699239,0.01028917645,0.1999568508,0.989811795
1.155778894,0.001674458277,0.01255824468,0.2584328832,0.993511808
1.206030151,0.001895635433,0.01530444184,0.3250765538,0.9958683501
1.256281407,0.0021417199,0.01862314661,0.3972599202,0.9973690576
1.306532663,0.002415487589,0.02262654329,0.4715495126,0.9983246958
1.35678392,0.0027200324,0.02744553823,0.5444120987,0.9989332233
1.407035176,0.003058800624,0.03323139595,0.612883237,0.9993207147
1.457286432,0.003435628706,0.04015680119,0.6749520384,0.9995674559
1.507537688,0.003854784562,0.04841594415,0.7296107784,0.9997245719
1.557788945,0.004321012615,0.05822310955,0.7766753408,0.9998246176
1.608040201,0.004839582709,0.06980914666,0.8165213699,0.999888323
1.658291457,0.005416342953,0.08341514173,0.8498384636,0.9999288882
1.708542714,0.006057776531,0.09928266044,0.8774461399,0.9999547187
1.75879397,0.006771062346,0.1176401404,0.9001754591,0.9999711665
1.809045226,0.007564139281,0.1386854553,0.918802807,0.9999816399
1.859296482,0.00844577365,0.1625653747,0.9340191485,0.999988309
1.909547739,0.009425629187,0.1893535599,0.9464208774,0.9999925556
1.959798995,0.01051433866,0.2190297118,0.9565125425,0.9999952597
2.010050251,0.01172357581,0.2514632374,0.9647153073,0.9999969815
2.060301508,0.01306612595,0.2864049772,0.9713775513,0.999998078
2.110552764,0.01455595296,0.323489854,0.9767856648,0.9999987761
2.16080402,0.01620826,0.362251699,0.9811740765,0.9999992207
2.211055276,0.01803954035,0.4021492957,0.9847341171,0.9999995038
2.261306533,0.02006761428,0.442600436,0.9876216253,0.999999684
2.311557789,0.02231164695,0.4830192146,0.9899633526,0.9999997988
2.361809045,0.02479214139,0.5228513791,0.9918622915,0.9999998719
2.412060302,0.02753089998,0.5616033542,0.9934020727,0.9999999184
2.462311558,0.03055094706,0.5988622253,0.9946505723,0.9999999481
2.512562814,0.03387640454,0.6343058981,0.9956628622,0.9999999669
2.56281407,0.03753231239,0.6677043199,0.996483615,0.9999999789
2.613065327,0.04154438571,0.6989137064,0.9971490624,0.9999999866
2.663316583,0.04593870117,0.7278661362,0.9976885862,0.9999999915
2.713567839,0.0507413067,0.7545567554,0.9981260121,0.9999999946
2.763819095,0.05597775097,0.779030409,0.9984806591,0.9999999965
2.814070352,0.06167253274,0.8013689751,0.9987681914,0.9999999978
2.864321608,0.06784847449,0.8216801614,0.9990013094,0.9999999986
2.914572864,0.07452603062,0.8400881112,0.9991903106,0.9999999991
2.964824121,0.08172254717,0.8567258702,0.9993435438,0.9999999994
3.015075377,0.08945149695,0.8717295871,0.9994677778,0.9999999996
3.065326633,0.09772172127,0.8852342251,0.9995685006,0.9999999998
3.115577889,0.1065367156,0.8973705275,0.9996501618,0.9999999999
3.165829146,0.115894001,0.9082629875,0.9997163686,0.9999999999
3.216080402,0.1257846262,0.9180285939,0.9997700458,0.9999999999
3.266331658,0.1361928413,0.9267761615,0.9998135646,1
3.316582915,0.1470959824,0.9346060878,0.9998488474,1
3.366834171,0.1584645923,0.9416104108,0.9998774531,1
3.417085427,0.1702627946,0.9478730732,0.999900645,1
3.467336683,0.1824489162,0.9534703186,0.999919448,1
3.51758794,0.1949763423,0.9584711671,0.9999346924,1
3.567839196,0.2077945674,0.9629379311,0.9999470519,1
3.618090452,0.2208503914,0.9669267437,0.9999570723,1
3.668341709,0.2340892043,0.9704880818,0.9999651964,1
3.718592965,0.2474562921,0.9736672695,0.999971783,1
3.768844221,0.260898102,0.9765049561,0.999977123,1
3.819095477,0.2743634087,0.9790375629,0.9999814525,1
3.869346734,0.2878043337,0.9812976971,0.9999849626,1
3.91959799,0.301177184,0.9833145323,0.9999878084,1
3.969849246,0.3144430893,0.9851141561,0.9999901157,1
4.020100503,0.3275684318,0.9867198865,0.9999919863,1
4.070351759,0.3405250745,0.9881525586,0.9999935029,1
4.120603015,0.3532904036,0.9894307834,0.9999947325,1
4.170854271,0.3658472095,0.9905711812,0.9999957293,1
4.221105528,0.3781834327,0.9915885918,0.9999965376,1
4.271356784,0.390291804,0.9924962629,0.9999971928,1
4.32160804,0.4021694079,0.9933060196,0.9999977241,1
4.371859296,0.4138171948,0.9940284159,0.9999981548,1
4.422110553,0.4252394668,0.9946728703,0.999998504,1
4.472361809,0.4364433541,0.9952477878,0.9999987871,1
4.522613065,0.4474383005,0.995760668,0.9999990167,1
4.572864322,0.4582355678,0.9962182027,0.9999992028,1
4.623115578,0.468847769,0.9966263626,0.9999993536,1
4.673366834,0.4792884352,0.9969904745,0.999999476,1
4.72361809,0.4895716209,0.9973152912,0.9999995751,1
4.773869347,0.4997115487,0.9976050527,0.9999996555,1
4.824120603,0.5097222934,0.9978635417,0.9999997207,1
4.874371859,0.5196175058,0.998094133,0.9999997736,1
4.924623116,0.5294101753,0.9982998371,0.9999998164,1
4.974874372,0.5391124278,0.99848334,0.9999998512,1
5.025125628,0.5487353596,0.9986470375,0.9999998793,1
5.075376884,0.558288904,0.9987930671,0.9999999022,1
5.125628141,0.567781729,0.9989233357,0.9999999207,1
5.175879397,0.5772211643,0.9990395443,0.9999999357,1
5.226130653,0.5866131559,0.9991432104,0.9999999479,1
5.27638191,0.5959622469,0.9992356876,0.9999999577,1
5.326633166,0.6052715816,0.9993181836,0.9999999657,1
5.376884422,0.6145429318,0.9993917756,0.9999999722,1
5.427135678,0.623776744,0.9994574247,0.9999999775,1
5.477386935,0.6329722034,0.9995159881,0.9999999817,1
5.527638191,0.6421273146,0.9995682306,0.9999999852,1
5.577889447,0.6512389964,0.9996148345,0.999999988,1
5.628140704,0.6603031869,0.9996564083,0.9999999903,1
5.67839196,0.669314958,0.9996934949,0.9999999921,1
5.728643216,0.6782686367,0.9997265787,0.9999999936,1
5.778894472,0.6871579296,0.9997560916,0.9999999948,1
5.829145729,0.6959760496,0.9997824191,0.9999999958,1
5.879396985,0.704715842,0.999805905,0.9999999966,1
5.929648241,0.713369907,0.9998268561,0.9999999972,1
5.979899497,0.7219307181,0.9998455458,0.9999999978,1
6.030150754,0.7303907341,0.9998622183,0.9999999982,1
6.08040201,0.7387425027,0.9998770912,0.9999999985,1
6.130653266,0.7469787553,0.9998903589,0.9999999988,1
6.180904523,0.7550924919,0.9999021946,0.999999999,1
6.231155779,0.763077055,0.9999127528,0.9999999992,1
6.281407035,0.7709261936,0.9999221715,0.9999999994,1
6.331658291,0.7786341151,0.9999305735,0.9999999995,1
6.381909548,0.7861955275,0.9999380687,0.9999999996,1
6.432160804,0.7936056703,0.9999447549,0.9999999997,1
6.48241206,0.8008603365,0.9999507195,0.9999999997,1
6.532663317,0.807955885,0.9999560403,0.9999999998,1
6.582914573,0.8148892448,0.9999607868,0.9999999998,1
6.633165829,0.8216579113,0.999965021,0.9999999999,1
6.683417085,0.8282599372,0.9999687981,0.9999999999,1
6.733668342,0.8346939163,0.9999721676,0.9999999999,1
6.783919598,0.8409589637,0.9999751735,0.9999999999,1
