t,1uM,1.4uM,2uM,3uM,5uM
0,1.39E-06,2.65E-06,5.42E-06,1.23E-05,3.55E-05
0.05025125628,1.39E-06,2.65E-06,5.42E-06,1.23E-05,3.55E-05
0.1005025126,5.56E-06,1.06E-05,2.19E-05,5.08E-05,0.0001649573209
0.1507537688,1.25E-05,2.41E-05,5.01E-05,0.0001207037405,0.000471255313
0.2010050251,2.24E-05,4.31E-05,9.11E-05,0.0002312424776,0.001150450902
0.2512562814,3.50E-05,6.81E-05,0.0001464601874,0.0003971397877,0.002635080044
0.3015075377,5.08E-05,9.92E-05,0.0002184199059,0.0006404349451,0.005860448882
0.351758794,6.94E-05,0.000137020901,0.0003097611847,0.0009933935953,0.01281103809
0.4020100503,9.11E-05,0.0001819374798,0.000424050616,0.001502705915,0.02754801608
0.4522613065,0.0001161803454,0.0002345877944,0.0005657472278,0.002235496198,0.05776163331
0.5025125628,0.0001445292123,0.0002956749774,0.0007403736269,0.003287826783,0.1157273779
0.5527638191,0.0001763570528,0.0003660145177,0.000954727043,0.00479658887,0.2144444558
0.6030150754,0.0002118184356,0.0004465449672,0.001217137676,0.00695587731,0.3544919776
0.6532663317,0.0002510855553,0.000538340238,0.00153778319,0.01003905452,0.5131486336
0.7035175879,0.0002943490529,0.000642623638,0.001929069773,0.01442751478,0.658117474
0.7537688442,0.0003418189229,0.0007607838137,0.002406091908,0.02064625477,0.7709124956
0.8040201005,0.0003937255119,0.0008943927877,0.002987184738,0.02940401052,0.8504432435
0.8542713568,0.0004503206122,0.001045226302,0.003694584627,0.04163083802,0.9036394991
0.9045226131,0.0005118786554,0.001215286698,0.004555214909,0.05849740392,0.9383045622
0.9547738693,0.0005786980118,0.001406828592,0.005601614681,0.08138784477,0.9606154551
1.005025126,0.0006511023994,0.001622387627,0.006873028142,0.111785811,0.9748923363
1.055276382,0.0007294424102,0.001864812602,0.008416669892,0.1510334699,0.9840038879
1.105527638,0.0008140971598,0.002137301318,0.01028917645,0.1999568508,0.989811795
1.155778894,0.0009054760656,0.002443440488,0.01255824468,0.2584328832,0.993511808
1.206030151,0.001004020763,0.002787250103,0.01530444184,0.3250765538,0.9958683501
1.256281407,0.001110207168,0.003173232631,0.01862314661,0.3972599202,0.9973690576
1.306532663,0.001224547687,0.00360642749,0.02262654329,0.4715495126,0.9983246958
1.35678392,0.001347593597,0.004092471203,0.02744553823,0.5444120987,0.9989332233
1.407035176,0.001479937586,0.004637663661,0.03323139595,0.612883237,0.9993207147
1.457286432,0.001622216486,0.005249040927,0.04015680119,0.6749520384,0.9995674559
1.507537688,0.001775114185,0.005934454939,0.04841594415,0.7296107784,0.9997245719
1.557788945,0.001939364747,0.006702660484,0.05822310955,0.7766753408,0.9998246176
1.608040201,0.002115755741,0.007563409677,0.06980914666,0.8165213699,0.999888323
1.658291457,0.002305131795,0.008527554112,0.08341514173,0.8498384636,0.9999288882
1.708542714,0.002508398382,0.00960715468,0.09928266044,0.8774461399,0.9999547187
1.75879397,0.002726525859,0.01081559883,0.1176401404,0.9001754591,0.9999711665
1.809045226,0.002960553759,0.0121677248,0.1386854553,0.918802807,0.9999816399
1.859296482,0.003211595359,0.01367995194,0.1625653747,0.9340191485,0.999988309
1.909547739,0.003480842532,0.01537041584,0.1893535599,0.9464208774,0.9999925556
1.959798995,0.003769570897,0.01725910642,0.2190297118,0.9565125425,0.9999952597
2.010050251,0.004079145279,0.01936800634,0.2514632374,0.9647153073,0.9999969815
2.060301508,0.004411025492,0.0217212264,0.2864049772,0.9713775513,0.999998078
2.110552764,0.004766772458,0.02434513346,0.323489854,0.9767856648,0.9999987761
2.16080402,0.00514805467,0.02726846533,0.362251699,0.9811740765,0.9999992207
2.211055276,0.005556655011,0.03052242568,0.4021492957,0.9847341171,0.9999995038
2.261306533,0.005994477948,0.03414075062,0.442600436,0.9876216253,0.999999684
2.311557789,0.006463557085,0.03815973682,0.4830192146,0.9899633526,0.9999997988
