0 [0.00e+00, 0.00e+00]
350 [4.74e-02, 5.05e-02]
700 [4.06e-02, 2.36e-02]
1050 [4.10e-02, 2.33e-02]
1400 [4.21e-02, 2.61e-02]
1750 [4.28e-02, 2.79e-02]
2100 [4.31e-02, 2.89e-02]
2450 [4.33e-02, 2.94e-02]
2800 [4.35e-02, 2.97e-02]
3150 [4.35e-02, 2.99e-02]
3500 [4.36e-02, 3.01e-02]
3850 [4.37e-02, 3.02e-02]
4200 [4.37e-02, 3.03e-02]
4550 [4.37e-02, 3.03e-02]
4900 [4.37e-02, 3.04e-02]
5250 [4.38e-02, 3.04e-02]
5600 [4.38e-02, 3.05e-02]
5950 [4.38e-02, 3.05e-02]
6300 [4.38e-02, 3.05e-02]
6650 [4.38e-02, 3.05e-02]
7000 [4.38e-02, 3.05e-02]
7350 [4.38e-02, 3.05e-02]
7700 [4.38e-02, 3.05e-02]
8050 [4.38e-02, 3.04e-02]
8400 [4.38e-02, 3.04e-02]
8750 [4.37e-02, 3.04e-02]
9100 [4.37e-02, 3.04e-02]
9450 [4.37e-02, 3.04e-02]
9800 [4.38e-02, 3.03e-02]
10150 [4.37e-02, 3.04e-02]
10500 [4.37e-02, 3.04e-02]
10850 [4.37e-02, 3.04e-02]
11200 [4.37e-02, 3.04e-02]
11550 [4.37e-02, 3.04e-02]
11900 [4.38e-02, 3.05e-02]
12250 [4.38e-02, 3.05e-02]
12600 [4.38e-02, 3.05e-02]
12950 [4.38e-02, 3.05e-02]
13300 [4.38e-02, 3.06e-02]
13650 [4.38e-02, 3.06e-02]
14000 [4.39e-02, 3.06e-02]
14350 [4.38e-02, 3.07e-02]
14700 [4.38e-02, 3.07e-02]
15050 [4.38e-02, 3.07e-02]
15400 [4.39e-02, 3.07e-02]
15750 [4.38e-02, 3.07e-02]
16100 [4.38e-02, 3.07e-02]
16450 [4.38e-02, 3.08e-02]
16800 [4.38e-02, 3.07e-02]
17150 [4.38e-02, 3.07e-02]
17500 [4.38e-02, 3.07e-02]
17850 [4.38e-02, 3.07e-02]
18200 [4.39e-02, 3.06e-02]
18550 [4.38e-02, 3.07e-02]
18900 [4.38e-02, 3.07e-02]
19250 [4.38e-02, 3.07e-02]
19600 [4.38e-02, 3.07e-02]
19950 [4.38e-02, 3.07e-02]
20300 [4.38e-02, 3.07e-02]
20650 [4.38e-02, 3.07e-02]
21000 [4.38e-02, 3.07e-02]
21350 [4.38e-02, 3.07e-02]
21700 [4.38e-02, 3.07e-02]
22050 [4.38e-02, 3.06e-02]
22400 [4.38e-02, 3.07e-02]
22750 [4.38e-02, 3.07e-02]
23100 [4.38e-02, 3.07e-02]
23450 [4.38e-02, 3.06e-02]
23800 [4.38e-02, 3.07e-02]
24150 [4.38e-02, 3.07e-02]
24500 [4.38e-02, 3.07e-02]
24850 [4.38e-02, 3.07e-02]
25200 [4.38e-02, 3.07e-02]
25550 [4.38e-02, 3.07e-02]
25900 [4.39e-02, 3.06e-02]
26250 [4.38e-02, 3.07e-02]
26600 [4.38e-02, 3.07e-02]
26950 [4.39e-02, 3.06e-02]
27300 [4.38e-02, 3.07e-02]
27650 [4.37e-02, 3.08e-02]
28000 [4.37e-02, 3.08e-02]
28350 [4.38e-02, 3.07e-02]
28700 [4.38e-02, 3.07e-02]
29050 [4.38e-02, 3.07e-02]
29400 [4.38e-02, 3.07e-02]
29750 [4.38e-02, 3.07e-02]
30100 [4.38e-02, 3.07e-02]
30450 [4.39e-02, 3.06e-02]
30800 [4.39e-02, 3.07e-02]
31150 [4.38e-02, 3.07e-02]
31500 [4.38e-02, 3.07e-02]
31850 [4.38e-02, 3.07e-02]
32200 [4.39e-02, 3.06e-02]
32550 [4.38e-02, 3.07e-02]
32900 [4.38e-02, 3.07e-02]
33250 [4.38e-02, 3.08e-02]
33600 [4.38e-02, 3.08e-02]
33950 [4.38e-02, 3.07e-02]
34300 [4.38e-02, 3.08e-02]
34650 [4.38e-02, 3.08e-02]
35000 [4.39e-02, 3.07e-02]
